"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Yu1OL8I0D4vjOzYdsXYGK","12:51","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:3HFbH1loOUbqCyPsLuHLLh","Room On Fire","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2003-10-28","https://i.scdn.co/image/ab67616d0000b2730f35726025e0f025da4c688f","1","4","153133","https://p.scdn.co/mp3-preview/3d3777c25746192d5a81d3f8c9a7fba81a46071a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USRC10301489","","2025-10-03T01:54:39Z"
"spotify:track:4wCmqSrbyCgxEXROQE6vtV","Somebody That I Used To Know","spotify:artist:2AsusXITU8P25dlRNhcAbG, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti","Gotye, Kimbra","spotify:album:1HjSyGjmLNjRAKgT9t1cna","Making Mirrors","spotify:artist:2AsusXITU8P25dlRNhcAbG","Gotye","2011-01-01","https://i.scdn.co/image/ab67616d0000b273e1d47c00ddecbfb810c807ed","1","3","244973","https://p.scdn.co/mp3-preview/d125c2d009d8388e01078361811e910f71966746?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","AUZS21100040","","2025-09-27T05:47:44Z"
"spotify:track:0c4IEciLCDdXEhhKxj4ThA","Madness","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:3KuXEGcqLcnEYWnn3OEGy0","The 2nd Law","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2012-09-24","https://i.scdn.co/image/ab67616d0000b273fc192c54d1823a04ffb6c8c9","1","2","281040","https://p.scdn.co/mp3-preview/f84cc7df257a52a7cf91fc166cd59c377ac32331?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAHT1200390","","2025-09-27T04:27:28Z"
"spotify:track:1KDYN3odJHnj9pqGHN3FVs","My Body","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","2","244400","https://p.scdn.co/mp3-preview/5a915036c5d8efcc9be676a62ee45d823d4f1ec1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","NLA321090396","","2025-09-27T04:03:50Z"
"spotify:track:6aqm56xP40foYBBtAWWrnY","Running on Empty","spotify:artist:5lkiCO9UQ8B23dZ1o0UV4m","Jackson Browne","spotify:album:5ivr226sTfgyZMeWnQjKRL","Running on Empty / Nothing but Time (Digital 45)","spotify:artist:5lkiCO9UQ8B23dZ1o0UV4m","Jackson Browne","1978","https://i.scdn.co/image/ab67616d0000b2738d6479b1461b26b8b6603935","1","1","291893","https://p.scdn.co/mp3-preview/4dc37172649d9df1aed3312a1cd3f49918e404a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USEE10900486","","2025-08-04T16:16:02Z"
"spotify:track:51WE0PFRB0hCSp9mDC5p8u","I'd Really Love to See You Tonight","spotify:artist:01W8kYNqFHyKicPfR0pLwO","England Dan & John Ford Coley","spotify:album:40V7QExJNlpQZaxZf1JTF5","Rhino Hi-Five: England Dan & John Ford Coley","spotify:artist:01W8kYNqFHyKicPfR0pLwO","England Dan & John Ford Coley","2005-09-20","https://i.scdn.co/image/ab67616d0000b273692cc6b7710598b9e088cb77","1","1","159106","https://p.scdn.co/mp3-preview/9720153baf344fb76fd109021fc2911297bf9e9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20181306","","2025-07-06T18:21:22Z"
"spotify:track:0qRR9d89hIS0MHRkQ0ejxX","Rich Girl","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:5TNzBp7QYsXIHrI5xxVuic","Bigger Than Both Of Us","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","1976-08-01","https://i.scdn.co/image/ab67616d0000b2733ebc5b9d8942069d3b920550","1","2","142786","https://p.scdn.co/mp3-preview/246e1cdfbc760791fa34b2ac697259b6c3598009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USRC17607760","","2025-07-06T05:20:41Z"
"spotify:track:2dtK02TSAuTvVYU2wGAVG0","Still the One","spotify:artist:1667U2YoucgG5Pdvm2M59c","Orleans","spotify:album:47YQQPzYY32yZbWC40mlku","Waking & Dreaming","spotify:artist:1667U2YoucgG5Pdvm2M59c","Orleans","1976","https://i.scdn.co/image/ab67616d0000b27343e597e14a18269a47430add","1","6","234040","https://p.scdn.co/mp3-preview/33a31a0e9b52fb416a266809850faf2e4177a168?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USEE10250656","","2025-07-06T05:20:31Z"
"spotify:track:4k1YrSM0KCb5LepafCrW5K","Southern Cross","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:5hVTcLOMdF852hzUu7HUCY","Greatest Hits","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","2005-03-14","https://i.scdn.co/image/ab67616d0000b273cb392fae41fb3cc343b17e0d","1","6","280960","https://p.scdn.co/mp3-preview/cd07189990b7d561272da44534075035c9285749?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USAT20000094","","2025-07-06T05:20:13Z"
"spotify:track:1lZJzhTAzXWgEY3RSw9cvx","Sweet Baby James","spotify:artist:0vn7UBvSQECKJm2817Yf1P","James Taylor","spotify:album:2L4U4JjEADYaVltkvDrkCC","Greatest Hits","spotify:artist:0vn7UBvSQECKJm2817Yf1P","James Taylor","1976","https://i.scdn.co/image/ab67616d0000b27323ed6d11c4dff5ce4c47a7e7","1","4","171093","https://p.scdn.co/mp3-preview/5e2a1ee5134729ce9638c0409c4a63b30a4eab43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USWB19900192","","2025-07-01T05:03:15Z"
